Country/Region,Latitude,Longitude,Jan_2020,Feb_2020,March_2020,April_2020,May_2020,June_2020,July_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,March_2021,April_2021,May_2021,June_2021,July_2021,Aug_2021,Sep_2021,Oct_2021
Germany,51.165690999999995,10.451526,18,482,588179,3942925,5427815,5670762,6265079,7024733,8319060,13344117,27918536,49430221,67027669,70578285,86993329,100369656,118594812,119139807,123869889,127280969,131940770,150241372
Ghana,7.9465,-1.0232,0,0,1146,24029,164583,370733,826344,1296178,1414729,1610410,1656149,1816999,1948233,2292624,2907848,2931622,3079495,3034377,3271661,3694812,3975081,4388349
Greece,39.0742,21.8243,0,8,12783,63645,86380,95085,121131,222112,443087,930223,2572113,4323581,4902152,5231434,7551608,9923675,12462891,13304642,15069021,17952903,20027098,23819588
Grenada,12.1165,-61.678999999999995,0,0,52,429,674,690,715,744,744,888,1174,2810,4536,4440,5006,5014,5302,5152,5352,8152,102037,193502
Guatemala,15.7835,-90.2308,0,0,333,7312,67102,329549,1062083,1938713,2588273,3430794,3825078,4462259,4914076,5037456,6113458,6744387,7994843,8843017,10978075,13920057,16708768,19946560
Guinea,9.9456,-9.6966,0,0,104,15955,80843,139077,196485,261346,314199,387525,418539,458462,466773,454687,598726,682105,752826,751001,811584,923466,963613,1039304
Guinea-Bissau,11.8037,-15.1804,0,0,26,1515,26923,44361,58039,65237,70737,81316,79903,83171,82629,88946,114730,118392,123695,122171,135018,172086,192750,208257
Guyana,4.860416000000001,-58.93018000000001,0,0,141,1562,3617,5398,9979,24093,64519,125118,161108,204250,228770,246555,310526,376384,505867,598976,706898,788417,926018,1165476
Haiti,18.9712,-72.2852,0,0,84,1261,15126,123311,209881,242437,263606,303488,302938,327787,353705,362548,417435,412646,448118,534208,641791,678917,682214,783296
Holy See,41.9029,12.4534,0,0,58,247,367,360,372,372,372,727,891,918,891,810,891,864,891,864,891,891,864,918
Honduras,15.2,-86.2419,0,0,821,13307,86306,317671,975322,1584516,2152480,2999621,3412472,3939115,4446684,4830994,5949259,6409250,7489081,8024855,9264276,10572523,11373870,12651151
Hungary,47.1625,19.5033,0,0,3512,48858,106717,121673,133397,154696,477648,1675283,5018588,9754889,11532649,11822687,17885567,23539514,26283614,25824320,26690367,26754270,26150339,28599391
Iceland,64.9631,-19.0208,0,1,11298,50142,55864,54362,57048,62238,71873,133906,171686,190522,195591,181061,201553,202364,215696,211838,230802,317385,364194,431347
India,20.593684,78.96288,2,81,10252,447607,3088494,10951713,32829678,82734792,158129244,253452622,294441075,338975713,348471465,328248533,382182444,487081567,817686790,947869885,1026263995,1065522218,1068258597,1158723125
Indonesia,-0.7893,113.9213,0,0,11971,164969,546175,1211857,2544132,4336124,7170707,12175502,15767112,22109372,30093063,36860560,47385117,51111404,57726747,63206921,92968707,126969608,133594300,143946026
Iran,32.427908,53.68804599999999,0,1024,525947,2255837,3727988,5749446,8279348,10622742,12827025,18210609,26288201,38446432,43900225,45978014,58416451,70552379,90832559,98172761,116456133,148375031,171560390,196746304
Iraq,33.223191,43.679291,0,21,6335,42494,112314,731904,2680051,5516538,9392637,14485066,17213466,19702961,20080716,19623809,25624273,30944054,37743370,40809353,49100358,58866361,62786394,69191495
Ireland,53.1424,-7.6921,0,0,23308,365860,730677,758939,797096,847681,994791,1683270,2254890,2744108,5341349,6305040,7539341,7780596,8453105,8569914,9410484,10828314,11906238,14224281
Israel,31.046051000000002,34.851612,0,16,35287,367312,512036,602486,1460503,2916651,5476762,10124026,10775181,12779879,18041646,21820666,26991934,26772309,27691106,26884909,28191109,31856187,38420766,44672559
Italy,41.87194,12.56738,2,2838,1209772,4928524,6914863,7115232,7560745,7919622,9066770,15481968,40251714,64719105,78048842,82323634,108398996,122879841,136964044,135873565,141712808,146930324,147862303,160598418
Jamaica,18.1096,-77.2975,0,0,382,5011,16083,19058,24311,40928,136923,275413,330294,407377,471142,588119,1062242,1385484,1562361,1582674,1692953,1970066,2486328,2962860
Japan,36.204824,138.252924,58,2173,29049,264160,496442,525362,769638,1701860,2381134,3163312,4108365,6603310,10701605,12511045,14951400,17040723,22547046,24919562,28006733,39945567,52790007,58381326
Jordan,31.24,36.51,0,0,2421,11816,18801,28514,36345,45488,153507,1383014,5153982,9087021,10351559,10667558,16702683,21668705,23931805,23839078,25111838,25910945,25969108,28694070
